School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
P.S. 71 - QUEENS,Q,24,FY19 RESO A PA SYSTEM UPGRADE / COVID VENTILATION / COVID FIRE ALARM REPLACEMENT,7965000,CIP,Q071,62-85 FOREST AVENUE,Queens,11434,QUEENS,40.673769,-73.775951,412,28,4270059,4124950270,33403,QN1204,"(40.673769, -73.775951)"
K368 SPED - BROOKLYN,K,14,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,20400000,CIP,K033,70 TOMPKINS AVENUE,Brooklyn,11215,BROOKLYN,40.668916,-73.983195,306,39,3021932,3010000001,153,BK0602,"(40.668916, -73.983195)"
P.S. 171 - MANHATTAN,M,4,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,134225,CIP,M171,19 EAST 103 STREET,Manhattan,10040,MANHATTAN,40.859243,-73.927792,112,10,1064128,1021710036,283,MN1202,"(40.859243, -73.927792)"
QUEENS SATELLITE HS FOR OPPORTUNITY - Q,Q,28,TCU REMOVAL AND PLAYGROUND REDEVELOPMENT / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / FLOOD ELIMINATION,14570000,CIP,Q595,162-02 HILLSIDE AVENUE,Queens,11101,QUEENS,40.743509,-73.929076,402,26,4436685,4002260001,17902,QN0202,"(40.743509, -73.929076)"
P.S. 149 - QUEENS,Q,30,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS / PAVED AREAS- CONCRETE / FLOOD ELIMINATION,22889000,CIP,Q149,93-11 34TH AVENUE,Queens,11377,QUEENS,40.757499,-73.908898,401,26,4014094,4007520001,163,QN0104,"(40.757499, -73.908898)"
INNOVATION DIPLOMA PLUS,M,3,LOW VOLTAGE ELECTRICAL SYSTEM / VENTILATION / CLIMATE CONTROL,11221212,CIP,M470,145 WEST 84 STREET,Manhattan,10003,MANHATTAN,40.732447,-73.983031,106,2,1020419,1009220008,48,MN0602,"(40.732447, -73.983031)"
P.S. 5 - BROOKLYN,K,16,WINDOWS,14745880.35,CIP,K005,820 HANCOCK STREET,Brooklyn,11233,BROOKLYN,40.673073,-73.919594,316,41,3039174,3014570032,363,BK1601,"(40.673073, -73.919594)"
P.S. 224 - BROOKLYN,K,19,EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION / ROOFS / AIR CONDENSING UNIT,11224000,CIP,K224,757 WORTMAN AVENUE,Brooklyn,11218,BROOKLYN,40.645017,-73.980761,312,39,3124109,3053230032,498,BK1203,"(40.645017, -73.980761)"
P.S. 235 - BROOKLYN,K,18,EXTERIOR MASONRY / ROOFS / PARAPETS,3454200,CIP,K242,10001 FLATLANDS AVENUE,Brooklyn,11203,BROOKLYN,40.648423,-73.925948,317,45,3104513,3047390001,946,BK1703,"(40.648423, -73.925948)"
I.S. 131 - BRONX,X,8,CHARTER MATCH SCIENCE LAB UPGRADE / PATH OF TRAVEL CHARTER MATCH SCIENCE LAB UPGRADE,595000,CIP,X131,885 BOLTON AVENUE,Bronx,10457,BRONX,40.854515,-73.896703,205,15,2013307,2031430043,379,BX0502,"(40.854515, -73.896703)"
I.S. 49 - STATEN ISLAND,R,31,COVID VENTILATION,364531,CIP,R049,101 WARREN STREET,Staten Island,10304,STATEN IS,40.611508,-74.083177,501,49,5043519,5028880040,4004,SI0103,"(40.611508, -74.083177)"
I.S. 302 - BRONX,X,8,FY21 RESO A STEM LAB / PATH OF TRAVEL RESO A STEM LAB,623000,CIP,X052,681 KELLY STREET,Bronx,10455,BRONX,40.814031,-73.900609,202,17,2005089,2026830065,83,BX0202,"(40.814031, -73.900609)"
I.S. 73 - QUEENS,Q,24,LOW VOLT ELECTRICAL SYSTEMS,925000,CIP,Q073,70-02 54 AVENUE,Queens,11357,QUEENS,40.785909,-73.818058,407,19,4105232,4046470001,1039,QN0702,"(40.785909, -73.818058)"
NEW DORP HS - STATEN ISLAND,R,31,SCIENCE LAB UPGRADES,2646708,CIP,R435,465 NEW DORP LANE,Staten Island,10302,STATEN IS,40.633704,-74.142364,501,49,5026076,5011210001,213,SI0106,"(40.633704, -74.142364)"
I.S. 226 - QUEENS,Q,27,RTU REPLACEMENT / ROOFS,6864000,CIP,Q226,121-10 ROCKAWAY BOULEVARD,Queens,11377,QUEENS,40.734294,-73.897557,405,30,4440274,4024230001,513,QN0501,"(40.734294, -73.897557)"
P.S. 19 - BRONX,X,11,EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,6223022,CIP,X019,311 EAST 237TH STREET,Bronx,10463,BRONX,40.887111,-73.913697,208,11,2085869,2059170140,309,BX0803,"(40.887111, -73.913697)"
P.S. 310 - BRONX,X,10,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,24407.53,CIP,X122,260 WEST KINGSBRIDGE ROAD,Bronx,10460,BRONX,40.845878,-73.886184,206,15,2012957,2031090001,371,BX0602,"(40.845878, -73.886184)"
P.S. 122 - QUEENS,Q,30,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,11773000,CIP,Q122,21-21 DITMARS BOULEVARD,Queens,11420,QUEENS,40.665058,-73.811701,410,28,4257530,4118820001,84602,QN1001,"(40.665058, -73.811701)"
